2016-06-06 08:32:01,467 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@6cdca9e2{/help,null,AVAILABLE}
2016-06-06 08:32:01,492 [Start Help Server] INFO  o.e.jetty.server.ServerConnector - Started ServerConnector@622b9bab{HTTP/1.1}{127.0.0.1:50556}
2016-06-06 08:32:01,492 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @973491ms
2016-06-06 08:34:53,576 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-06 08:34:53,616 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\SpringFirst\src\main\resources
2016-06-06 08:34:53,618 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-06 08:34:53,642 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\SpringFirst\src\test\resources
2016-06-06 08:38:35,099 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-06 08:38:35,126 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\SpringFirst\src\main\resources
2016-06-06 08:38:35,129 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-06 08:38:35,146 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\SpringFirst\src\test\resources
2016-06-06 08:39:12,421 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-06 08:39:12,439 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\SpringFirst\src\main\resources
2016-06-06 08:39:12,441 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-06 08:39:12,454 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\SpringFirst\src\test\resources
2016-06-06 08:39:33,937 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-06 08:39:33,955 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\SpringFirst\src\main\resources
2016-06-06 08:39:33,957 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-06 08:39:33,971 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\SpringFirst\src\test\resources
2016-06-06 08:40:08,605 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-06 08:40:08,616 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\SpringFirst\src\main\resources
2016-06-06 08:40:08,618 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-06 08:40:08,628 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\SpringFirst\src\test\resources
2016-06-06 08:40:13,282 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-06 08:40:13,294 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\SpringFirst\src\main\resources
2016-06-06 08:40:13,296 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-06 08:40:13,304 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\SpringFirst\src\test\resources
2016-06-06 08:40:28,042 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
